Numer of labeled samples:26768   AUC:0.977
Numer of labeled samples:26769   AUC:0.978
Numer of labeled samples:26771   AUC:0.979
Numer of labeled samples:26769   AUC:0.975
Numer of labeled samples:26770   AUC:0.977
Numer of labeled samples:26771   AUC:0.978
Numer of labeled samples:26773   AUC:0.979
Numer of labeled samples:26766   AUC:0.976
Numer of labeled samples:26773   AUC:0.978
Numer of labeled samples:26771   AUC:0.976
Numer of labeled samples:26768   AUC:0.976
Numer of labeled samples:26769   AUC:0.977
Numer of labeled samples:26765   AUC:0.977
Numer of labeled samples:26773   AUC:0.977
Numer of labeled samples:26765   AUC:0.977
Numer of labeled samples:26759   AUC:0.975
Numer of labeled samples:26768   AUC:0.976
Numer of labeled samples:26769   AUC:0.977
Numer of labeled samples:26770   AUC:0.976
Numer of labeled samples:26770   AUC:0.977
Numer of labeled samples:26767   AUC:0.978
Numer of labeled samples:26766   AUC:0.975
Numer of labeled samples:26764   AUC:0.978
Numer of labeled samples:26769   AUC:0.976
Numer of labeled samples:26769   AUC:0.976
Numer of labeled samples:26760   AUC:0.975
Numer of labeled samples:26771   AUC:0.976
Numer of labeled samples:26772   AUC:0.975
Numer of labeled samples:26773   AUC:0.976
Numer of labeled samples:26772   AUC:0.979
Numer of labeled samples:26769   AUC:0.974
Numer of labeled samples:26774   AUC:0.976
Numer of labeled samples:26773   AUC:0.977
Numer of labeled samples:26771   AUC:0.977
Numer of labeled samples:26776   AUC:0.978
Numer of labeled samples:26766   AUC:0.977
Numer of labeled samples:26769   AUC:0.977
Numer of labeled samples:26772   AUC:0.978
Numer of labeled samples:26767   AUC:0.977
Numer of labeled samples:26764   AUC:0.978
Numer of labeled samples:26767   AUC:0.980
Numer of labeled samples:26770   AUC:0.978
Numer of labeled samples:26767   AUC:0.977
Numer of labeled samples:26732   AUC:0.979
Numer of labeled samples:26771   AUC:0.974
Numer of labeled samples:26769   AUC:0.977
Numer of labeled samples:26769   AUC:0.977
Numer of labeled samples:26767   AUC:0.976
Numer of labeled samples:26768   AUC:0.977
Numer of labeled samples:26771   AUC:0.979
Numer of labeled samples:26767   AUC:0.978
Numer of labeled samples:26769   AUC:0.978
Numer of labeled samples:26771   AUC:0.976
Numer of labeled samples:26768   AUC:0.976
Numer of labeled samples:26766   AUC:0.976
Numer of labeled samples:26770   AUC:0.977
Numer of labeled samples:26768   AUC:0.977
Numer of labeled samples:26765   AUC:0.977
Numer of labeled samples:26770   AUC:0.976
Numer of labeled samples:26771   AUC:0.976
Numer of labeled samples:26764   AUC:0.978
Numer of labeled samples:26769   AUC:0.978
Numer of labeled samples:26769   AUC:0.974
Numer of labeled samples:26759   AUC:0.977
Numer of labeled samples:26767   AUC:0.977
Numer of labeled samples:26767   AUC:0.978
Numer of labeled samples:26770   AUC:0.977
Numer of labeled samples:26768   AUC:0.978
Numer of labeled samples:26771   AUC:0.977
Numer of labeled samples:26769   AUC:0.976
Numer of labeled samples:26770   AUC:0.976
Numer of labeled samples:26767   AUC:0.977
Numer of labeled samples:26762   AUC:0.975
Numer of labeled samples:26765   AUC:0.976
Numer of labeled samples:26768   AUC:0.978
Numer of labeled samples:26770   AUC:0.977
Numer of labeled samples:26768   AUC:0.977
Numer of labeled samples:26773   AUC:0.976
Numer of labeled samples:26766   AUC:0.977
Numer of labeled samples:26770   AUC:0.978
Numer of labeled samples:26768   AUC:0.978
Numer of labeled samples:26770   AUC:0.977
